,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.49,0.4,0.04,0.44,0.01
1,1.0,0.49,0.4,0.04,0.44,0.01
2,2.0,0.48,0.36,0.08,0.4,0.04
3,3.0,0.49,0.4,0.04,0.36,0.08
4,4.0,0.49,0.36,0.08,0.32,0.16
5,5.0,0.52,0.32,0.16,0.28,0.29
6,6.0,0.54,0.28,0.29,0.24,0.48
7,7.0,0.55,0.28,0.29,0.24,0.48
8,8.0,0.55,0.28,0.29,0.2,0.71
9,9.0,0.56,0.28,0.29,0.16,0.91
10,10.0,0.58,0.28,0.29,0.16,0.91
11,11.0,0.59,0.28,0.29,0.16,0.91
12,12.0,0.61,0.24,0.48,0.12,1.0
13,13.0,0.65,0.24,0.48,0.12,1.0
14,14.0,0.67,0.24,0.48,0.12,1.0
15,15.0,0.69,0.24,0.48,0.12,1.0
16,16.0,0.71,0.24,0.48,0.12,1.0
17,17.0,0.75,0.2,0.71,0.08,1.0
18,18.0,0.79,0.2,0.71,0.08,1.0
19,19.0,0.83,0.2,0.71,0.12,1.0
20,20.0,0.89,0.24,0.48,0.12,1.0
21,21.0,0.93,0.24,0.48,0.12,1.0
22,22.0,0.99,0.24,0.48,0.12,1.0
23,23.0,1.07,0.24,0.48,0.16,0.91
24,24.0,1.16,0.24,0.48,0.16,0.91
25,25.0,1.23,0.24,0.48,0.16,0.91
