,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.56,0.4,0.04,0.48,0.01
1,1.0,0.56,0.4,0.04,0.48,0.01
2,2.0,0.56,0.4,0.04,0.48,0.01
3,3.0,0.56,0.4,0.04,0.48,0.01
4,4.0,0.57,0.4,0.04,0.48,0.01
5,5.0,0.57,0.4,0.04,0.48,0.01
6,6.0,0.57,0.4,0.04,0.48,0.01
7,7.0,0.57,0.4,0.04,0.48,0.01
8,8.0,0.57,0.4,0.04,0.48,0.01
9,9.0,0.58,0.4,0.04,0.48,0.01
10,10.0,0.58,0.36,0.08,0.48,0.01
11,11.0,0.59,0.4,0.04,0.44,0.01
12,12.0,0.59,0.36,0.08,0.44,0.01
13,13.0,0.6,0.36,0.08,0.44,0.01
14,14.0,0.6,0.4,0.04,0.44,0.01
15,15.0,0.6,0.4,0.04,0.44,0.01
16,16.0,0.61,0.36,0.08,0.44,0.01
17,17.0,0.61,0.36,0.08,0.44,0.01
18,18.0,0.62,0.36,0.08,0.44,0.01
19,19.0,0.62,0.36,0.08,0.44,0.01
20,20.0,0.63,0.36,0.08,0.44,0.01
21,21.0,0.64,0.36,0.08,0.44,0.01
22,22.0,0.65,0.36,0.08,0.4,0.04
23,23.0,0.65,0.36,0.08,0.44,0.01
24,24.0,0.67,0.32,0.16,0.44,0.01
25,25.0,0.68,0.32,0.16,0.44,0.01
